singular;plural;se_indefinite_article;se_singular;se_plural;dk_indefinite_article;dk_singular;dk_plural;no_indefinite_article;no_singular;no_plural;fi_indefinite_article;fi_singular;fi_plural;de_indefinite_article;de_singular;de_plural;nl_indefinite_article;nl_singular;nl_plural;fr_indefinite_article;fr_singular;fr_plural
sequin;sequins;;paljett;paljetter;;paillet;pailletter;;paljett;paljetter;;;;;;;;;;;;
seven;;;sju;sjuor;;syv;;;syv;;;;;;;;;;;;;
shadow;shadows;;;;1;skygge;skygger;;;;;;;;;;;;;;;
shape;shapes;1;form;former;1;form;former;1;form;former;;;;;;;;;;;;
shark;sharks;1;haj;hajar;1;haj;hajer;1;hai;haier;;;;;;;;;;;;
sheep;sheeps;2;får ;får;2;får;sheeps;1;sau;sauer;;;;;;;;;;;;
shy;;;blyg;blyga;1;genert;generte;;sjenert;sjenerte;;;;;;;;;;;;
six;;;sex;sexor;;seks;;;seks;;;;;;;;;;;;;
skull;skulls;;;;2;kranium;kranier;1;hodeskalle;hodeskaller;;;;;;;;;;;;
sleeping;;;sover;sover;;sovende;;;sovende;;;;;;;;;;;;;
splash;splashes;;;;;sprøjt;;1;firkant;firkanter;;;;;;;;;;;;
square;squares;1;fyrkant;fyrkanter;1;firkant;firkanter;1;trapp;trapper;;;;;;;;;;;;
stair;stairs;1;trapp;trappor;1;trappe;trappe;1;stjerne;stjerner;;;;;;;;;;;;
star;stars;1;stjärna;stjärnor;1;stjerne;stjerner;;;;;;;;;;;;;;;
starfish;starfishes;1;sjöstjärna;sjöstärnor;;søstjerne;søstjerner;1;sjøsterne;sjøstjerner;;;;;;;;;;;;
starry sky;;;;;1;stjernehimmel;;1;stjernehimmel;;;;;;;;;;;;;
strawberry;strawberries;1;jordgubbe;jordgubbar;2;jordbær;jordbær;2;jordbær;jordbær;;;;;;;;;;;;
street;streets;;;;1;gade;gader;;;;;;;;;;;;;;;
sunflower;sunflowers;1;solros;solrosor;1;solsikke;solsikker;1;solsikke;solsikker;;;;;;;;;;;;
ten;;;tio;tior ;;ti;;;ti;;;;;;;;;;;;;
texture;;1;textur;texturer;;tekstur;;;tekstur;;;;;;;;;;;;;
three;;;tre;treor;;tre;;;tre;;;;;;;;;;;;;
tiger;tigers;1;tiger;tigrar;1;tiger;tigre;1;tiger;tigre;;;;;;;;;;;;
tower;towers;;;;1;tårn;tårne;;;;;;;;;;;;;;;
tree;trees;2;träd;träd;2;træ;træer;2;tre;trær;;;;;;;;;;;;
triangle;triangles;1;triangel;trianglar;1;trekant;trekanter;1;trekant;trekanter;;;;;;;;;;;;
two;;;två;tvåor;;to;;;to;;;;;;;;;;;;;
umbrella;umbrellas;2;paraply;paraplyer;1;paraply;paraplyer;1;paraply;paraplyer;;;;;;;;;;;;
unique;uniques;;unik;unika;;unik;unikke;;unik;unike;;;;;;;;;;;;
universe;;;;;2;univers;;2;univers;;;;;;;;;;;;;
various;;;;;;forskellige;;;;;;;;;;;;;;;;
wavy;;;;;;bølget;;;;;;;;;;;;;;;;
whale;whales;1;val;valar;1;hval;hvaler;1;hval;hvaler;;;;;;;;;;;;
