color;se_singular;se_plural;se_neutrum;dk_singular;dk_plural;dk_neutrum;no_singular;no_plural;no_neutrum;fi_singular;fi_plural;fi_neutrum;de_singular;de_plural;de_neutrum;nl_singular;nl_plural;nl_neutrum;fr_singular;fr_plural;fr_neutrum
lime;;;;lime;lime;lime;lime;lime;lime;;;;;;;;;;;;
matte;matt;matta;matt;mat;matte;mat;matt;matt;matt;;;;matt;;;;;;;;
midnight blue;;;;midnatsblå;midnatsblå;midnatsblåt;midnattsblå;midnattsblåe;midnattsblått;;;;;;;;;;;;
mint green;;;;mint grøn;mint grønne;mint grønt;mintgrønn;mintgrønne;mintgrønt;;;;;;;;;;;;
multicolor;flerfärgad;flerfärgade;flerfärgat;flerfarve;flerfarver;flerfarvet;flerfarget;flerfargede;flerfarget;;;;mehrfarbig;;;;;;;;
navy blue;marinblå;marinblåa;marinblått;marine blå;marine blå;marine blåt;marineblå ;marineblåe;marineblått;laivastonsininen;;;navy blau;;;;;;;;
ocean blue;;;;havblå;havblå;havblåt;havblå;havblåe;havblått;;;;;;;;;;;;
orange;orange;orangea;oranget;orange;orange;orange;oransje;oransje;oransje;oranssi;;;orange;;;oranje;;;orange;;
pale brown;ljusbrun;ljusbruna;ljusbrunt;dæmpet brun;dæmpet brune;dæmpet brunt;lysebrun;lysebrune;lysebrunt;;;;;;;;;;;;
pink;rosa;rosa;rosa;lyserød;lyserøde;lyserødt;rosa;rosa;rosa;pinkki;;;rosa;;;roze;;;rose;;
plum;plommon;plommon;plommon;blomme;blomme;;plomme;plomme;plomme;;;;;;;;;;;;
purple;lila;lila;lila;lilla;lilla;lilla;lilla;lilla;lilla;violetti;;;lila;;;purper;;;violette;;
red;röd;röda;rött;rød;røde;rødt;rød;rød;rød;punainen;;;rot;;;rood;;;rouge;;
rose ;ros;rosor;ros ;rose ;rose;;rose ;rose;;ruusu;;;;;;;;;;;
rose gold;roséguld;roséguld;roséguld;rødguld;rødguld;rødguldt;rose gull;rødgull;;ruusukulta;;;rose gold;;;rose goud;;;or rose;;
silver;silver;silver;silver;sølv;sølv;sølv;sølv;sølv;sølv;hopea;;;silber;;;zilver;;;argent;;
sky blue;himmelsblå;himmelsblåa;himmelsblått;himmelblå;himmelblå;himmelblåt;himmelblå;himmelblåe;himmelblått;taivaansininen;;;;;;;;;;;
transparent;transparent;transparenta ;transparent;transparent;transparente;transparent;gjennomsiktig;gjennomsiktige;gjennomsiktig;läpinäkyvä;;;;;;transparant;;;;;
two-color;tvåfärgad;tvåfärgade;tvåfärgat;to-farve;to-farver;to-farvet;tofarget;tofargede;tofarget;;;;;;;;;;;;
watermelon red;vattenmelonsröd;;;vandmelons rød;vandmelons røde;vandmelons rødt;vannmelonsrødt;vannmelonsrøde;vannmelonsrødt;;;;;;;;;;;;
white;vit;vita;vitt;hvid;hvide;hvidt;hvit;hvite;hvitt;valkoinen;;;weiß;;;wit;;;blanche;;
wine red;vinröd;vinröda;vinrött;rødvin;rødvin;rødvin;vinrød;vinrøde;vinrødt;viininpunainen;;;;;;;;;;;
yellow;gul;gula;gult;gul;gule;gult;gul;gule;gult;keltainen;;;gelb;;;geel;;;;;
colorful;;;;farverig;farverige;farverigt;;;;;;;;;;;;;;;
multi-color;;;;flerfarvet;flere farver;flerfarvet;;;;;;;;;;;;;;;
flourescent;;;;fluorescerende;fluorescerende;fluorescerende;;;;;;;;;;;;;;;
